.L ../../PDG_ZA.C 
root [3] .L ../../Angles.C 
root [4] tree->Scan("Event:Nhits:PDG_ZA(PrimPDG):PDG_ZA(PDG):DetID:En:Phi:Theta:Time")
***********************************************************************************************************************************
*    Row   * Instance *     Event *     Nhits * PDG_ZA(Pr * PDG_ZA(PD *     DetID *        En *       Phi *     Theta *      Time *
*       18 *        3 *       260 *         4 *      2112 *     80160 *       272 * 0.4103265 * 69.078498 * 72.795125 * 18.460295 *
Type <CR> to continue or q to quit ==> 
*       19 *        0 *       284 *         2 *      2112 *      2112 *       136 * 0.0133639 * 63.930122 * 44.993165 * 13.582216 *
*       19 *        1 *       284 *         2 *      2112 *     80160 *       135 * 0.2101616 * 67.939245 * 43.806749 * 12.460410 *
*       20 *        0 *       285 *         1 *      2112 *      2112 *       139 * 0.0045150 * 45.487874 * 61.695253 * 12.634234 *
*       21 *        0 *       291 *         3 *      2112 *      2112 *        97 * 0.0030301 * 32.561939 * 76.225035 * 18.142188 *
*       21 *        1 *       291 *         3 *      2112 *     80160 *        48 * 0.2150766 * 29.635207 * 71.784813 * 16.065292 *
*       21 *        2 *       291 *         3 *      2112 *     80160 *        96 * 0.4043567 * 35.559283 * 71.125010 * 13.858837 *
*       22 *        0 *       307 *         1 *      2112 *     80160 *        30 * 0.2279989 * 148.43715 * 60.976611 * 12.515168 *
*       23 *        0 *       330 *         2 *      2112 *        22 *        40 * 0.3432552 * 64.931734 * 30.823407 * 13.066106 *
*       23 *        1 *       330 *         2 *      2112 *    711750 *        40 * 0.0350270 * 65.094147 * 29.807802 * 13.050916 *
*       24 *        0 *       336 *         3 *      2112 *        22 *        81 * 0.2120047 * 135.87142 * 54.301883 * 14.052454 *
*       24 *        1 *       336 *         3 *      2112 *    711750 *        81 * 0.0126481 * 135.87142 * 54.301883 * 14.052193 *
*       24 *        2 *       336 *         3 *      2112 *     80160 *        81 * 0.3358096 * 136.11112 * 53.505202 * 13.811138 *
*       25 *        0 *       356 *         3 *      2112 *      2112 *        29 * 0.0031830 * 149.24979 * 66.855507 * 21.595320 *
*       25 *        1 *       356 *         3 *      2112 *     80160 *        76 * 0.2932979 * 145.35306 * 82.602012 * 27.942544 *
*       25 *        2 *       356 *         3 *      2112 *    140280 *        81 * 0.0589593 * 137.96752 * 52.368923 * 14.961215 *
*       26 *        0 *       377 *         1 *      2112 *      2112 *       135 * 0.0275747 * 69.727430 * 43.033194 * 13.255236 *
*       27 *        0 *       380 *         1 *      2112 *        22 *       133 * 0.9417944 * 86.445348 * 39.104909 * 1.5077358 *
*       28 *        0 *       394 *         1 *      2112 *     80160 *       138 * 0.1290387 * 52.002002 * 55.649763 * 11.960749 *
*       29 *        0 *       399 *         1 *      2112 *     80160 *       178 * 0.3008592 * 61.561354 * 56.788447 * 14.281218 *
*       30 *        0 *       403 *         1 *      2112 *      2112 *       123 * 0.0020835 * 139.19732 * 80.153395 * 12.988830 *
*       31 *        0 *       408 *         2 *      2112 *        22 *        82 *  0.246728 * 133.04693 * 49.441819 * 16.914850 *
*       31 *        1 *       408 *         2 *      2112 *    711750 *        82 * 0.0019422 * 133.04693 * 49.441819 * 16.913961 *
*       32 *        0 *       409 *         2 *      2112 *        22 *       277 * 1.2600765 * 74.902022 * 101.84310 * 13.403130 *
*       32 *        1 *       409 *         2 *      2112 *    711750 *       277 * 0.0124746 * 74.902022 * 101.84310 * 13.386846 *
*       33 *        0 *       422 *         3 *      2112 *      2112 *       125 * 0.0027597 * 137.66824 * 67.271009 * 13.060897 *
