 
root [4] .L ../Angles.C 
root [5] .L ../PDG_ZA.C 

root [5] tree->Scan("Nevent:Reaction:Nhits:PDG_ZA(PDGchit):Enhit:PhiDeg(dXhit,dYhit):ThetaDeg(dZhit):Thit","Volhit==3")
***********************************************************************************************************************
*    Row   * Instance *    Nevent *  Reaction *     Nhits * PDG_ZA(PD *     Enhit * PhiDeg(dX * ThetaDeg( *      Thit *
*        4 *       16 *    381680 *         3 *        20 *      2112 * 21.511584 * 41.153101 * 34.075802 * 2.0683742 *
*        4 *       17 *    381680 *         3 *        20 *      2112 * 4.4665137 * 8.3752378 * 78.300479 * 3.9343226 *
*        4 *       18 *    381680 *         3 *        20 *     10030 * 30.607186 * 62.255481 * 40.572256 * 2.7694397 *
*        4 *       19 *    381680 *         3 *        20 *      2212 * 31.201540 * 95.280377 * 63.939022 * 1.8070764 *
*        5 *        0 *    402400 *         4 *        18 *        22 * 1.1260109 * 229.99024 * 80.375144 * 0.8027251 *
*        5 *        1 *    402400 *         4 *        18 *        22 * 1.3188801 * 29.706890 * 155.95440 * 0.8025742 *
*        5 *        2 *    402400 *         4 *        18 *        22 * 1.3772862 * 330.89021 * 153.18125 * 0.8024944 *
*        5 *        3 *    402400 *         4 *        18 *        22 * 0.2702383 * 108.48658 * 66.699758 * 0.8028793 *
*        5 *        4 *    402400 *         4 *        18 *        22 * 0.4010792 * 0.4103066 * 143.55347 * 0.8024684 *
*        5 *        5 *    402400 *         4 *        18 *        22 * 0.5275996 * 1.7425698 * 57.921976 * 0.8023927 *
*        5 *        6 *    402400 *         4 *        18 *        22 * 0.5635412 * 229.19677 * 141.40060 * 0.8027013 *
*        5 *        7 *    402400 *         4 *        18 *        22 * 0.7098350 * 310.11857 * 32.806936 * 0.8024757 *
*        5 *        8 *    402400 *         4 *        18 *        22 * 2.8088439 * 299.39992 * 124.85673 * 0.8024122 *
*        5 *        9 *    402400 *         4 *        18 *      2212 * 5.4032477 * 283.35356 * 115.19706 * 3.6166807 *
*        5 *       10 *    402400 *         4 *        18 *    360830 * 42.053741 * 90.279240 * 3.4054340 * 10.678393 *
*        5 *       11 *    402400 *         4 *        18 *      2212 * 14.596740 * 10.902916 * 78.968272 * 2.3964413 *
*        5 *       12 *    402400 *         4 *        18 *     10020 * 25.615276 * 349.17249 * 23.419823 * 2.5243116 *
*        5 *       13 *    402400 *         4 *        18 *      2112 * 24.479808 * 75.035742 * 19.909573 * 1.9704561 *
*        5 *       14 *    402400 *         4 *        18 *      2212 * 25.449203 * 38.526962 * 154.13027 * 1.9412561 *
*        5 *       15 *    402400 *         4 *        18 *      2112 * 15.311170 * 265.93674 * 70.753410 * 2.3538955 *
*        5 *       16 *    402400 *         4 *        18 *     20030 * 13.741156 * 224.01360 * 85.883946 * 3.8849183 *
*        5 *       17 *    402400 *         4 *        18 *      2112 * 18.471061 * 135.83840 * 95.012791 * 2.1914699 *
*        6 *        0 *    420507 *         5 *         9 *        22 * 0.4585651 * 192.53952 * 61.195296 * 0.8023948 *
*        6 *        1 *    420507 *         5 *         9 *        22 * 10.743390 * 338.37220 * 59.320775 * 0.8028830 *
Type <CR> to continue or q to quit ==> 
*        6 *        2 *    420507 *         5 *         9 *        22 * 1.0357133 * 357.80925 * 138.77552 * 0.8028593 *
*        6 *        3 *    420507 *         5 *         9 *      2112 * 5.3254710 * 51.420123 * 43.769341 * 3.6449767 *
*        6 *        4 *    420507 *         5 *         9 *     10020 * 34.234117 * 267.25012 * 37.374856 * 2.2529531 *
*        6 *        5 *    420507 *         5 *         9 *      2212 * 48.659140 * 202.82166 * 17.506572 * 1.5518217 *
*        6 *        6 *    420507 *         5 *         9 *      2112 * 3.4493209 * 88.891491 * 103.91777 * 4.4090396 *
*        6 *        7 *    420507 *         5 *         9 *     10020 * 10.220361 * 125.52233 * 41.342507 * 3.7052711 *
*        6 *        8 *    420507 *         5 *         9 *    110230 * 119.74448 * 9.3234321 * 3.0234908 * 3.6646495 *
*        7 *        0 *    425511 *         6 *         7 *     90200 * 114.40775 * 12.290196 * 12.712217 * 3.5200439 *
*        7 *        1 *    425511 *         6 *         7 *        22 * 0.3632590 * 157.84373 * 126.75349 * 0.8024392 *
*        7 *        2 *    425511 *         6 *         7 *      2112 * 12.788238 * 303.07721 * 26.184609 * 2.5288460 *
*        7 *        3 *    425511 *         6 *         7 *     10020 * 23.313622 * 144.87379 * 32.297467 * 2.6216497 *
*        7 *        4 *    425511 *         6 *         7 *      2212 * 0.9397764 * 71.356607 * 98.661636 * 7.9992745 *
*        7 *        5 *    425511 *         6 *         7 *     20040 * 29.227476 * 192.14167 * 57.786804 * 3.1694930 *
*        7 *        6 *    425511 *         6 *         7 *     10020 * 45.647830 * 273.49094 * 18.698157 * 2.0204666 *
*        8 *        0 *    443483 *         7 *        16 *    370801 *  31.59672 * 52.479553 * 8.4940793 * 12.034273 *
