 
root [4] .L ../Angles.C 
root [5] .L ../PDG_ZA.C 

root [5] tree->Scan("Nevent:Reaction:Nhits:PDG_ZA(PDGchit):Enhit:PhiDeg(dXhit,dYhit):ThetaDeg(dZhit):Thit","Volhit==3")
***********************************************************************************************************************
*    Row   * Instance *    Nevent *  Reaction *     Nhits * PDG_ZA(PD *     Enhit * PhiDeg(dX * ThetaDeg( *      Thit *
*       22 *        3 *   1231462 *        20 *        21 *        22 * 1.0454586 * 349.81648 * 66.722154 * 0.8033009 *
*       22 *        4 *   1231462 *        20 *        21 *        22 * 0.9655326 * 269.62959 * 97.852827 * 0.8028121 *
*       22 *        5 *   1231462 *        20 *        21 *        22 * 0.8747606 * 33.358153 * 84.079324 * 0.8031352 *
*       22 *        6 *   1231462 *        20 *        21 *        22 * 1.0086926 * 297.50033 * 173.69379 * 0.8027070 *
*       22 *        7 *   1231462 *        20 *        21 *        22 * 0.6249808 * 293.26635 * 82.538648 * 0.8030717 *
*       22 *        8 *   1231462 *        20 *        21 *        22 * 0.7040600 * 248.46370 * 126.04548 * 0.8025749 *
*       22 *        9 *   1231462 *        20 *        21 *        22 * 1.6844478 * 44.665998 * 71.739753 * 0.8030084 *
*       22 *       10 *   1231462 *        20 *        21 *        22 * 0.5156933 * 152.02462 * 31.040322 * 0.8023018 *
*       22 *       11 *   1231462 *        20 *        21 *        22 * 0.3929911 * 137.64259 * 101.20517 * 0.8020509 *
*       22 *       12 *   1231462 *        20 *        21 *      2112 * 0.1666503 * 162.94663 * 54.799941 * 18.325311 *
*       22 *       13 *   1231462 *        20 *        21 *      2112 * 7.7521679 * 335.62332 * 22.277134 * 3.1066605 *
*       22 *       14 *   1231462 *        20 *        21 *      2212 * 10.192823 * 95.736165 * 34.053481 * 2.7691265 *
*       22 *       15 *   1231462 *        20 *        21 *      2112 * 13.677872 * 352.28341 * 126.83267 * 2.4650665 *
*       22 *       16 *   1231462 *        20 *        21 *     10020 * 24.912623 * 265.55564 * 34.460926 * 2.5537575 *
*       22 *       17 *   1231462 *        20 *        21 *     20040 * 7.4655454 * 250.36263 * 156.89829 * 5.7963040 *
*       22 *       18 *   1231462 *        20 *        21 *      2112 * 15.149840 * 176.79844 * 48.009017 * 2.3615634 *
*       22 *       19 *   1231462 *        20 *        21 *      2112 * 7.9704706 * 230.85248 * 153.61244 * 3.0676700 *
*       22 *       20 *   1231462 *        20 *        21 *     20030 * 28.201761 * 214.91069 * 145.08214 * 2.8589825 *
*       23 *        0 *   1285172 *        21 *         9 *        22 * 5.2233936 * 307.48227 * 149.74563 * 0.8023240 *
*       23 *        1 *   1285172 *        21 *         9 *        22 * 4.7010111 * 37.872217 * 106.75044 * 0.8022220 *
*       23 *        2 *   1285172 *        21 *         9 *        22 * 1.6050187 * 62.469543 * 72.641067 * 0.8025258 *
*       23 *        3 *   1285172 *        21 *         9 *      2112 * 15.009071 * 150.10024 * 52.353292 * 2.3766797 *
*       23 *        4 *   1285172 *        21 *         9 *      2112 * 7.4927566 * 51.151693 * 53.426287 * 3.1475164 *
*       23 *        5 *   1285172 *        21 *         9 *      2212 * 14.466870 * 273.77973 * 44.016321 * 2.4052288 *
*       23 *        6 *   1285172 *        21 *         9 *      2112 * 11.848112 * 271.08629 * 27.379466 * 2.6064114 *
Type <CR> to continue or q to quit ==> 
*       23 *        7 *   1285172 *        21 *         9 *     20030 * 59.752078 * 305.87414 * 43.426836 * 2.1227351 *
*       23 *        8 *   1285172 *        21 *         9 *    110230 * 116.66824 * 118.24035 * 10.547612 * 3.7070159 *
*       24 *        0 *   1503311 *        -4 *         1 *     80180 * 274.92814 * 63.311049 * 6.9310494 * 2.3494100 *
*       25 *        0 *   1550314 *        22 *        11 *        22 * 1.2152830 * 239.49807 * 110.80373 * 0.8026466 *
*       25 *        1 *   1550314 *        22 *        11 *        22 * 2.1673624 * 167.90548 * 64.365956 * 0.8031454 *
*       25 *        2 *   1550314 *        22 *        11 *        22 * 6.3958259 * 252.53865 * 77.005555 * 0.8025187 *
*       25 *        3 *   1550314 *        22 *        11 *        22 * 0.2139610 * 18.381638 * 108.90766 * 0.8023080 *
*       25 *        4 *   1550314 *        22 *        11 *      2212 * 14.419168 * 335.80313 * 31.869835 * 2.4078000 *
*       25 *        5 *   1550314 *        22 *        11 *      2212 * 8.6466160 * 113.96984 * 61.954202 * 2.9676240 *
*       25 *        6 *   1550314 *        22 *        11 *     10020 * 41.728598 * 181.08471 * 36.168078 * 2.0908325 *
*       25 *        7 *   1550314 *        22 *        11 *     10020 * 10.064076 * 30.755463 * 27.374871 * 3.7298759 *
*       25 *        8 *   1550314 *        22 *        11 *      2112 * 0.8474246 * 331.29749 * 124.00365 * 8.3923877 *
*       25 *        9 *   1550314 *        22 *        11 *      2112 * 0.9844705 * 263.52210 * 102.30822 * 7.8259009 *
*       25 *       10 *   1550314 *        22 *        11 *    100220 * 138.27094 * 337.39743 * 2.6527937 * 3.3794815 *
*       26 *        0 *   1599926 *        23 *         9 *        22 * 0.1029121 * 95.230821 * 150.31282 * 0.8027514 *
*       26 *        1 *   1599926 *        23 *         9 *     20040 * 14.165647 * 144.95628 * 5.8270687 * 4.3418585 *
*       26 *        2 *   1599926 *        23 *         9 *     20040 * 30.538401 * 181.78267 * 30.950413 * 3.1167695 *
*       26 *        3 *   1599926 *        23 *         9 *     10020 * 19.337855 * 8.8321565 * 21.053443 * 2.8282508 *
*       26 *        4 *   1599926 *        23 *         9 *      2112 * 13.847177 * 78.582943 * 9.5548886 * 2.4496762 *
*       26 *        5 *   1599926 *        23 *         9 *      2112 * 15.976139 * 60.138457 * 41.931917 * 2.3149467 *
*       26 *        6 *   1599926 *        23 *         9 *     20030 * 26.544434 * 216.23844 * 39.625322 * 2.9358888 *
*       26 *        7 *   1599926 *        23 *         9 *      2112 * 23.200695 * 226.33887 * 32.409404 * 2.0107293 *
*       26 *        8 *   1599926 *        23 *         9 *     70140 * 70.323327 * 10.911353 * 16.894432 * 3.7209508 *
*       27 *        0 *   1681100 *        24 *         8 *        22 * 8.1007670 * 73.039453 * 61.294403 * 0.8021549 *
*       27 *        1 *   1681100 *        24 *         8 *      2112 * 11.919856 * 339.89111 * 4.0991423 * 2.6010904 *
Type <CR> to continue or q to quit ==> 
*       27 *        2 *   1681100 *        24 *         8 *     20040 * 25.267154 * 103.56597 * 27.624652 * 3.3710244 *
*       27 *        3 *   1681100 *        24 *         8 *      2112 * 6.2646325 * 133.73997 * 66.663675 * 3.3925468 *
*       27 *        4 *   1681100 *        24 *         8 *      2112 * 8.7935558 * 155.45004 * 41.560146 * 2.9430110 *
*       27 *        5 *   1681100 *        24 *         8 *     20030 * 8.1743936 * 170.36560 * 45.290711 * 4.8877182 *
*       27 *        6 *   1681100 *        24 *         8 *     20040 * 31.796709 * 337.23009 * 63.178864 * 3.0648949 *
*       27 *        7 *   1681100 *        24 *         8 *     80160 * 134.51405 * 247.14345 * 5.0844270 * 2.9899244 *
*       28 *        0 *   1731573 *        25 *         6 *     60130 * 89.645327 * 330.93229 * 2.4631702 * 3.2500904 *
*       28 *        1 *   1731573 *        25 *         6 *     10020 * 28.463397 * 157.92966 * 12.272386 *  2.421082 *
*       28 *        2 *   1731573 *        25 *         6 *     30070 * 23.848266 * 328.85056 * 13.022483 * 4.4210346 *
*       28 *        3 *   1731573 *        25 *         6 *     20040 * 17.194040 * 220.94312 * 44.420084 * 3.9890788 *
*       28 *        4 *   1731573 *        25 *         6 *     10030 * 51.929883 * 68.373983 * 41.322043 * 2.2394010 *
*       28 *        5 *   1731573 *        25 *         6 *      2212 * 7.1941286 * 247.48145 * 67.626182 *  3.207628 *
*       29 *        0 *   1754448 *        26 *         6 *        22 * 7.2124220 * 6.6327552 * 51.225524 * 0.8024514 *
*       29 *        1 *   1754448 *        26 *         6 *     20040 * 4.9882777 * 167.43800 * 20.065850 * 6.9857136 *
*       29 *        2 *   1754448 *        26 *         6 *     30070 * 62.547220 * 117.50499 * 12.561940 * 2.9179706 *
*       29 *        3 *   1754448 *        26 *         6 *     20040 * 45.907538 * 80.342297 * 49.619345 * 2.6309587 *
*       29 *        4 *   1754448 *        26 *         6 *     10020 *  34.39283 * 258.73616 * 50.776665 * 2.2501733 *
*       29 *        5 *   1754448 *        26 *         6 *     60130 * 83.154489 * 289.88233 * 15.455747 * 3.3556228 *
*       30 *        0 *   1912167 *        27 *        10 *        22 * 0.3652637 * 66.764098 * 68.799227 * 0.8029699 *
*       30 *        1 *   1912167 *        27 *        10 *        22 * 3.0584899 * 94.477857 * 65.478154 * 0.8032507 *
*       30 *        2 *   1912167 *        27 *        10 *      2212 * 11.881809 * 66.716709 * 32.392700 * 2.6039030 *
*       30 *        3 *   1912167 *        27 *        10 *      2112 * 25.263588 * 179.22052 * 33.135912 * 1.9491102 *
*       30 *        4 *   1912167 *        27 *        10 *      2112 * 9.7249259 * 193.67202 * 62.058968 * 2.8280113 *
*       30 *        5 *   1912167 *        27 *        10 *     10020 * 23.535609 *  322.0942 * 9.8247955 * 2.6114755 *
*       30 *        6 *   1912167 *        27 *        10 *      2212 * 8.6960340 * 231.59842 * 54.891378 * 2.9567740 *
Type <CR> to continue or q to quit ==> 
*       30 *        7 *   1912167 *        27 *        10 *     10020 * 31.139537 * 304.68618 * 30.591006 * 2.3352710 *
*       30 *        8 *   1912167 *        27 *        10 *      2112 * 8.4245257 * 101.03139 * 23.661738 * 3.0006311 *
*       30 *        9 *   1912167 *        27 *        10 *    100210 * 92.731370 * 48.969647 * 6.2773098 * 3.9372090 *
*       31 *        0 *   1932151 *        28 *        20 *    380810 * 37.878591 * 120.31099 * 13.832042 * 11.094031 *
*       31 *        1 *   1932151 *        28 *        20 *        22 * 0.1192609 * 270.08675 * 83.851617 * 0.8027272 *
*       31 *        2 *   1932151 *        28 *        20 *        22 * 0.1032249 * 147.77940 * 62.284078 * 0.8024101 *
*       31 *        3 *   1932151 *        28 *        20 *        22 * 0.3332483 * 129.57539 * 124.60524 * 0.8024627 *
*       31 *        4 *   1932151 *        28 *        20 *        22 * 0.5449837 * 198.27840 * 111.56769 * 0.8024294 *
*       31 *        5 *   1932151 *        28 *        20 *        22 * 0.7492127 * 285.65009 * 83.951691 * 0.8027991 *
*       31 *        6 *   1932151 *        28 *        20 *        22 * 0.9029325 * 121.14352 * 162.00809 * 0.8025921 *
*       31 *        7 *   1932151 *        28 *        20 *        22 * 1.0650418 * 101.17705 * 161.91766 * 0.8026171 *
*       31 *        8 *   1932151 *        28 *        20 *        22 * 1.2039030 * 262.73829 * 67.796761 * 0.8026881 *
*       31 *        9 *   1932151 *        28 *        20 *        22 * 1.3916127 * 73.273890 * 85.009391 * 0.8026652 *
*       31 *       10 *   1932151 *        28 *        20 *        22 * 1.5064510 * 281.86360 * 17.594152 * 0.8026920 *
*       31 *       11 *   1932151 *        28 *        20 *      2112 * 1.4754518 * 52.231976 * 52.074724 * 6.4861616 *
*       31 *       12 *   1932151 *        28 *        20 *      2112 * 2.8906523 * 143.68108 * 130.85321 * 4.7680748 *
*       31 *       13 *   1932151 *        28 *        20 *      2212 * 11.277905 * 298.40491 * 125.77959 * 2.6592932 *
*       31 *       14 *   1932151 *        28 *        20 *      2112 * 2.7833932 * 117.47738 * 38.768180 * 4.8507894 *
*       31 *       15 *   1932151 *        28 *        20 *     10020 * 15.509433 * 56.870435 * 30.733477 *   3.10209 *
*       31 *       16 *   1932151 *        28 *        20 *      2112 * 6.0519450 * 200.75316 * 130.45071 * 3.4468195 *
*       31 *       17 *   1932151 *        28 *        20 *     20040 * 38.255215 * 299.94621 * 84.469278 * 2.8367894 *
*       31 *       18 *   1932151 *        28 *        20 *      2112 * 22.565032 * 221.72556 * 30.190249 * 2.0301354 *
*       31 *       19 *   1932151 *        28 *        20 *      2112 * 47.930576 * 322.45830 * 26.256571 * 1.5608380 *
*       32 *        0 *   2030321 *        29 *         8 *        22 * 0.9916251 * 122.46126 * 38.905855 * 0.8022148 *
*       32 *        1 *   2030321 *        29 *         8 *     30060 * 34.585459 * 19.558183 * 21.855963 * 3.5127588 *
Type <CR> to continue or q to quit ==> 
*       32 *        2 *   2030321 *        29 *         8 *     20040 * 14.056167 * 78.925684 * 39.917317 * 4.3534457 *
*       32 *        3 *   2030321 *        29 *         8 *      2112 * 14.113725 * 159.86247 * 45.712958 * 2.4284688 *
*       32 *        4 *   2030321 *        29 *         8 *      2112 * 40.645421 * 218.52463 * 48.833213 * 1.6476140 *
*       32 *        5 *   2030321 *        29 *         8 *      2212 * 10.053164 * 316.58077 * 58.227207 *  2.789925 *
*       32 *        6 *   2030321 *        29 *         8 *      2112 * 3.0452625 * 92.891705 * 75.988860 * 4.6542970 *
*       32 *        7 *   2030321 *        29 *         8 *     80160 * 113.22655 * 249.63503 * 6.0363579 * 3.2139166 *
*       33 *        0 *   2048473 *        30 *         9 *        22 * 0.3363974 * 343.44238 * 111.84370 * 0.8030381 *
*       33 *        1 *   2048473 *        30 *         9 *        22 * 3.3257311 * 280.44590 * 63.022469 * 0.8030297 *
*       33 *        2 *   2048473 *        30 *         9 *      2112 * 5.2820485 * 197.15158 * 43.257526 *  3.655095 *
*       33 *        3 *   2048473 *        30 *         9 *      2212 * 10.561702 * 58.788123 * 80.227804 * 2.7291046 *
*       33 *        4 *   2048473 *        30 *         9 *      2212 * 17.651379 * 171.67855 * 32.203619 * 2.2260475 *
*       33 *        5 *   2048473 *        30 *         9 *     10020 * 2.1484888 * 163.51225 * 13.535661 * 7.5086453 *
*       33 *        6 *   2048473 *        30 *         9 *      2112 * 38.463485 * 14.654288 * 24.934926 * 1.6793642 *
*       33 *        7 *   2048473 *        30 *         9 *     10030 * 39.784620 * 61.674883 * 12.804522 * 2.4884726 *
*       33 *        8 *   2048473 *        30 *         9 *    100210 * 103.37242 * 257.05755 * 7.0157701 * 3.7552254 *
*       34 *        0 *   2090156 *        31 *        16 *    370811 * 59.620623 * 65.048046 * 7.3239083 * 8.9406380 *
*       34 *        1 *   2090156 *        31 *        16 *        22 * 0.6388790 * 212.28486 * 46.400313 * 0.8025648 *
*       34 *        2 *   2090156 *        31 *        16 *        22 * 0.8667041 * 151.53537 * 102.15986 * 0.8026418 *
*       34 *        3 *   2090156 *        31 *        16 *        22 * 0.9868975 * 185.09273 * 146.79669 * 0.8026078 *
*       34 *        4 *   2090156 *        31 *        16 *        22 * 1.3125745 * 111.70526 * 133.67791 * 0.8027062 *
*       34 *        5 *   2090156 *        31 *        16 *        22 * 1.0995604 * 47.679137 * 103.21430 * 0.8027755 *
*       34 *        6 *   2090156 *        31 *        16 *        22 * 1.1915965 * 140.31403 * 89.333368 * 0.8026668 *
*       34 *        7 *   2090156 *        31 *        16 *      2112 * 0.8653432 * 357.08728 * 123.51451 * 8.3222766 *
*       34 *        8 *   2090156 *        31 *        16 *      2112 * 2.9351913 * 163.93938 * 18.911584 * 4.7378414 *
*       34 *        9 *   2090156 *        31 *        16 *      2212 * 9.8213294 * 270.95880 * 101.90254 * 2.8117541 *
Type <CR> to continue or q to quit ==> 
*       34 *       10 *   2090156 *        31 *        16 *      2112 * 6.3189418 * 198.99442 * 74.836661 * 3.3844969 *
*       34 *       11 *   2090156 *        31 *        16 *      2212 * 6.3482453 * 103.56561 * 165.88879 * 3.3768625 *
*       34 *       12 *   2090156 *        31 *        16 *     10030 * 19.864893 * 204.85428 * 53.080237 * 3.3128230 *
*       34 *       13 *   2090156 *        31 *        16 *      2212 * 6.1948318 * 112.45951 * 114.11590 * 3.4126621 *
*       34 *       14 *   2090156 *        31 *        16 *      2112 * 24.194209 * 227.78968 * 46.624575 * 1.9784268 *
*       34 *       15 *   2090156 *        31 *        16 *     10030 * 40.632404 * 346.27987 * 137.48967 * 2.4681071 *
*       35 *        0 *   2179984 *        32 *         8 *        22 * 8.0724755 * 27.473766 * 99.502996 * 0.8023291 *
*       35 *        1 *   2179984 *        32 *         8 *      2212 * 6.4533174 * 170.57104 * 55.961610 * 3.3555275 *
*       35 *        2 *   2179984 *        32 *         8 *      2112 * 12.083079 * 230.54839 * 10.620909 * 2.5869976 *
*       35 *        3 *   2179984 *        32 *         8 *     30070 * 23.386085 * 312.88380 * 23.256048 * 4.4573540 *
*       35 *        4 *   2179984 *        32 *         8 *      2112 * 7.2480862 * 208.54119 * 41.033471 * 3.1955287 *
*       35 *        5 *   2179984 *        32 *         8 *     20040 * 21.828362 * 305.94505 * 43.066444 * 3.5913750 *
*       35 *        6 *   2179984 *        32 *         8 *      2212 * 14.281228 * 8.8790383 * 60.334817 * 2.4168923 *
*       35 *        7 *   2179984 *        32 *         8 *     70150 * 132.66023 * 125.30432 * 14.744239 * 2.9280324 *
*       36 *        0 *   2231293 *        33 *        12 *        22 * 0.2020126 * 94.652679 * 71.166633 * 0.8029981 *
*       36 *        1 *   2231293 *        33 *        12 *        22 * 1.3835047 * 122.39782 * 72.934969 * 0.8032037 *
*       36 *        2 *   2231293 *        33 *        12 *        22 * 6.4977971 * 52.457194 * 47.231169 * 0.8025845 *
*       36 *        3 *   2231293 *        33 *        12 *        22 * 0.2258674 * 70.952450 * 93.487545 * 0.8027694 *
*       36 *        4 *   2231293 *        33 *        12 *      2112 * 7.9237966 * 18.461509 * 11.249320 * 3.0756096 *
*       36 *        5 *   2231293 *        33 *        12 *      2212 * 11.862495 * 201.26558 * 50.544632 * 2.6065230 *
*       36 *        6 *   2231293 *        33 *        12 *      2112 * 13.052345 * 119.93100 * 29.894962 * 2.5096202 *
*       36 *        7 *   2231293 *        33 *        12 *     20040 * 36.231042 * 157.67263 * 31.936777 * 2.9020800 *
*       36 *        8 *   2231293 *        33 *        12 *      2112 * 14.580120 * 308.09318 * 4.0475999 * 2.4001054 *
*       36 *        9 *   2231293 *        33 *        12 *      2212 * 16.528661 * 339.48394 * 18.245359 * 2.2832055 *
*       36 *       10 *   2231293 *        33 *        12 *     10020 * 38.116704 * 335.93763 * 39.960270 * 2.1601301 *
Type <CR> to continue or q to quit ==> 
*       36 *       11 *   2231293 *        33 *        12 *     90190 * 74.452847 * 349.83410 * 3.4093170 * 4.1492020 *
*       37 *        0 *   2254457 *        34 *        10 *        22 * 4.6090446 * 258.22698 * 74.604527 * 0.8028382 *
*       37 *        1 *   2254457 *        34 *        10 *        22 * 2.2624598 * 55.673920 * 132.56235 * 0.8027437 *
*       37 *        2 *   2254457 *        34 *        10 *     20040 * 42.169841 * 185.42930 * 18.468954 * 2.7230399 *
*       37 *        3 *   2254457 *        34 *        10 *      2112 * 20.978241 * 333.32566 * 66.332761 * 2.0900589 *
*       37 *        4 *   2254457 *        34 *        10 *     20040 * 40.409551 * 10.052482 * 22.123804 * 2.7739340 *
*       37 *        5 *   2254457 *        34 *        10 *      2112 * 20.937089 * 252.27228 * 18.256469 * 2.0883485 *
*       37 *        6 *   2254457 *        34 *        10 *      2212 * 4.0538124 * 206.64876 * 48.816581 * 4.0979558 *
*       37 *        7 *   2254457 *        34 *        10 *      2212 * 2.4796286 * 280.35938 * 76.102336 * 5.1151929 *
*       37 *        8 *   2254457 *        34 *        10 *      2112 * 0.8465715 * 38.163555 * 149.21627 * 8.4116960 *
*       37 *        9 *   2254457 *        34 *        10 *     80170 * 92.374632 * 123.69705 * 8.4208599 * 3.5970833 *
*       38 *        0 *   2260748 *        35 *         7 *        22 * 8.9817452 * 253.52540 * 121.04851 * 0.8024960 *
*       38 *        1 *   2260748 *        35 *         7 *        22 * 0.4525050 * 61.263633 * 108.42274 * 0.8026827 *
*       38 *        2 *   2260748 *        35 *         7 *     50110 * 52.975891 * 131.82990 * 19.431721 * 3.7953030 *
*       38 *        3 *   2260748 *        35 *         7 *      2212 * 22.119387 * 336.28544 * 63.392158 * 2.0412286 *
*       38 *        4 *   2260748 *        35 *         7 *     10030 *  5.466194 * 230.41708 * 64.972413 * 5.8758431 *
*       38 *        5 *   2260748 *        35 *         7 *     10030 * 37.239766 * 150.74260 * 19.311497 *  2.556968 *
*       38 *        6 *   2260748 *        35 *         7 *     60120 * 100.98263 * 336.68917 * 12.592652 * 2.9874361 *
*       39 *        0 *   2281303 *        -5 *         1 *     80180 * 274.97575 * 16.400872 * 11.249465 * 2.3485445 *
*       40 *        0 *   2336275 *        36 *         9 *        22 * 0.4659675 * 137.70293 * 60.902186 * 0.8029261 *
*       40 *        1 *   2336275 *        36 *         9 *        22 * 6.2031543 * 305.63451 * 87.960106 * 0.8022891 *
*       40 *        2 *   2336275 *        36 *         9 *      2212 * 7.7807776 * 185.03725 * 37.216641 * 3.0977064 *
*       40 *        3 *   2336275 *        36 *         9 *      2112 * 19.329243 * 18.785067 * 25.151125 * 2.1525691 *
*       40 *        4 *   2336275 *        36 *         9 *      2112 * 14.522013 * 269.77448 * 117.21172 * 2.4017193 *
*       40 *        5 *   2336275 *        36 *         9 *     10020 * 16.594644 * 16.118853 * 36.323822 * 3.0158592 *
Type <CR> to continue or q to quit ==> 
*       40 *        6 *   2336275 *        36 *         9 *      2112 * 6.3017637 * 254.03960 * 37.994518 * 3.3868062 *
*       40 *        7 *   2336275 *        36 *         9 *      2212 * 25.982936 * 222.56527 * 38.049889 * 1.9260110 *
*       40 *        8 *   2336275 *        36 *         9 *    110230 * 134.64062 * 96.625693 * 5.9612647 * 3.4844063 *
*       41 *        0 *   2436436 *        37 *        17 *    400840 * 28.681308 * 42.550224 * 5.9208201 * 12.904761 *
*       41 *        1 *   2436436 *        37 *        17 *        22 * 0.5329424 * 8.0044593 * 120.06142 * 0.8022436 *
*       41 *        2 *   2436436 *        37 *        17 *        22 * 0.7171256 * 145.10948 * 102.84886 * 0.8033908 *
*       41 *        3 *   2436436 *        37 *        17 *        22 * 1.5948504 * 309.86022 * 47.439790 * 0.8020827 *
*       41 *        4 *   2436436 *        37 *        17 *        22 * 0.4875092 * 276.45069 * 86.070845 * 0.8020499 *
*       41 *        5 *   2436436 *        37 *        17 *        22 * 0.7132524 * 251.24208 * 112.17668 * 0.8023369 *
*       41 *        6 *   2436436 *        37 *        17 *        22 * 0.8552950 * 246.34632 * 124.39931 * 0.8024209 *
*       41 *        7 *   2436436 *        37 *        17 *      2112 * 0.6996885 * 316.31841 * 73.105358 * 9.1813579 *
*       41 *        8 *   2436436 *        37 *        17 *      2112 * 2.7962468 * 132.09090 * 114.29578 * 4.8515049 *
*       41 *        9 *   2436436 *        37 *        17 *      2112 * 6.7364553 * 289.79655 * 54.383125 * 3.2896044 *
*       41 *       10 *   2436436 *        37 *        17 *      2212 * 7.7330138 *  293.4028 * 53.198737 * 3.1015594 *
*       41 *       11 *   2436436 *        37 *        17 *      2212 * 6.1978818 * 96.621307 * 137.50285 * 3.4148912 *
*       41 *       12 *   2436436 *        37 *        17 *      2112 * 10.611817 * 117.76940 * 28.576662 * 2.7286961 *
*       41 *       13 *   2436436 *        37 *        17 *      2112 * 9.2234857 * 39.593995 * 97.932790 * 2.8872948 *
*       41 *       14 *   2436436 *        37 *        17 *      2112 * 29.108816 * 336.41194 * 13.003195 * 1.8497702 *
*       41 *       15 *   2436436 *        37 *        17 *      2112 * 30.118667 * 192.48807 * 58.905742 * 1.8295254 *
*       41 *       16 *   2436436 *        37 *        17 *      2112 * 47.748391 * 223.67566 * 47.501147 * 1.5624356 *
*       42 *        0 *   2507023 *        38 *        10 *        22 * 1.5367725 * 336.86103 * 122.49118 * 0.8031448 *
*       42 *        1 *   2507023 *        38 *        10 *        22 * 2.8724788 * 109.48942 * 24.668299 * 0.8025568 *
*       42 *        2 *   2507023 *        38 *        10 *        22 * 8.4983500 * 84.225493 * 65.338629 * 0.8026814 *
*       42 *        3 *   2507023 *        38 *        10 *      2212 * 1.9965741 * 263.94513 * 47.044606 * 5.6379586 *
*       42 *        4 *   2507023 *        38 *        10 *     20040 * 50.154230 * 343.48758 * 33.676469 * 2.5421491 *
Type <CR> to continue or q to quit ==> 
*       42 *        5 *   2507023 *        38 *        10 *      2112 * 34.674761 * 235.02137 * 23.080418 * 1.7394345 *
*       42 *        6 *   2507023 *        38 *        10 *      2112 * 17.235673 * 151.00876 * 48.478425 * 2.2465982 *
*       42 *        7 *   2507023 *        38 *        10 *      2112 * 3.8721382 * 75.246646 * 72.919276 * 4.1894657 *
*       42 *        8 *   2507023 *        38 *        10 *     10020 *  14.88985 * 179.80318 * 35.326656 * 3.1525816 *
*       42 *        9 *   2507023 *        38 *        10 *    100200 * 98.136901 * 112.71515 * 2.3048552 * 3.7597881 *
*       43 *        0 *   2518613 *        39 *         8 *     30080 * 94.076668 * 237.67172 * 11.709823 * 2.6081443 *
*       43 *        1 *   2518613 *        39 *         8 *        22 * 4.7537703 * 273.66633 * 55.015147 * 0.8022868 *
*       43 *        2 *   2518613 *        39 *         8 *        22 * 0.8171873 * 30.237955 * 9.5295015 * 0.8027087 *
*       43 *        3 *   2518613 *        39 *         8 *      2112 * 7.9711464 * 62.142778 * 16.447320 * 3.0695810 *
*       43 *        4 *   2518613 *        39 *         8 *      2212 * 11.003753 * 9.8937762 * 69.332017 * 2.6859783 *
*       43 *        5 *   2518613 *        39 *         8 *     10020 * 28.041055 * 349.44493 * 15.303195 * 2.4359231 *
*       43 *        6 *   2518613 *        39 *         8 *      2212 * 6.6461082 * 42.409471 * 93.132790 * 3.3141617 *
*       43 *        7 *   2518613 *        39 *         8 *     80170 * 62.762540 * 157.98731 * 8.5813503 * 4.2605743 *
*       44 *        0 *   2539779 *        40 *        10 *        22 * 0.1942697 * 303.50539 * 92.256474 * 0.8028477 *
*       44 *        1 *   2539779 *        40 *        10 *        22 * 2.6688435 * 277.92002 * 64.516129 * 0.8029947 *
*       44 *        2 *   2539779 *        40 *        10 *        22 * 6.0625422 * 164.55639 * 66.421520 * 0.8028066 *
*       44 *        3 *   2539779 *        40 *        10 *      2112 * 16.910507 * 318.46906 *  16.92418 * 2.2654486 *
*       44 *        4 *   2539779 *        40 *        10 *     20040 * 17.902992 * 231.97218 * 39.898206 * 3.9188354 *
*       44 *        5 *   2539779 *        40 *        10 *      2212 *  15.00795 * 254.04700 * 39.020625 * 2.3736498 *
*       44 *        6 *   2539779 *        40 *        10 *      2112 * 7.6670529 * 283.65243 * 30.364538 * 3.1204424 *
*       44 *        7 *   2539779 *        40 *        10 *     10020 * 14.676940 * 21.161562 * 40.694990 * 3.1724167 *
*       44 *        8 *   2539779 *        40 *        10 *     10020 * 52.320644 * 94.232861 * 27.454246 *  1.921004 *
*       44 *        9 *   2539779 *        40 *        10 *     90190 * 89.846248 * 90.543763 * 3.8958080 * 3.8211659 *
*       45 *        0 *   2548755 *        -6 *         1 *     80180 * 274.85439 * 158.81246 * 8.5914017 * 2.3495767 *
*       46 *        0 *   2613867 *        41 *        14 *    370811 * 51.087146 * 130.98107 * 12.756600 * 9.6176553 *
Type <CR> to continue or q to quit ==> 
*       46 *        1 *   2613867 *        41 *        14 *        22 * 0.6224547 * 84.868598 * 99.369627 * 0.8028467 *
*       46 *        2 *   2613867 *        41 *        14 *        22 * 0.9107165 * 129.07724 * 16.403225 * 0.8025411 *
*       46 *        3 *   2613867 *        41 *        14 *        22 * 1.0132434 * 56.557956 * 108.31766 * 0.8031499 *
*       46 *        4 *   2613867 *        41 *        14 *        22 * 1.3310317 * 238.00355 * 117.02798 * 0.8021864 *
*       46 *        5 *   2613867 *        41 *        14 *      2112 * 3.7653038 * 25.043543 * 17.552856 * 4.2428003 *
*       46 *        6 *   2613867 *        41 *        14 *      2212 * 12.002333 * 67.802547 * 18.345687 * 2.5930700 *
*       46 *        7 *   2613867 *        41 *        14 *      2112 * 1.8267311 * 250.93995 * 58.993349 *  5.871184 *
*       46 *        8 *   2613867 *        41 *        14 *      2112 * 10.353259 * 340.64365 * 51.685637 * 2.7574484 *
